"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","cat_questionnaire_time","total_time","ID"
4,4,4,5,4,5,4,5,5,5,4,3,1,5,1,5,4,4,4,4,3,4,2,5,1,4,1,4,4,4,1,136104,313.972,1
2,4,4,4,5,3,5,2,2,3,3,3,1,3,2,1,1,4,4,5,3,3,3,4,4,3,2,1,3,3,1,228458,469.326,2
4,4,4,4,5,4,5,3,5,4,3,3,3,3,2,4,4,5,3,3,2,5,2,4,2,3,3,4,3,3,1,128954,277.782,3
3,3,4,4,3,3,4,3,2,3,2,3,1,2,2,2,3,3,4,3,2,3,2,3,3,2,4,3,3,2,2,116144,155.667,4
4,4,5,5,5,3,4,2,3,4,4,3,2,3,1,4,3,3,4,4,3,4,1,5,2,2,1,1,4,1,1,1669179,1751.353,5
4,4,5,5,3,4,4,3,3,4,1,4,3,5,3,3,1,3,2,5,3,4,2,5,4,3,1,3,3,4,3,158974,273.259,6
3,3,4,5,5,3,4,3,2,2,2,1,2,3,3,4,4,2,1,5,2,4,2,4,4,3,1,3,4,3,1,232654,333.75,7
3,5,3,4,3,3,3,4,2,3,3,3,1,1,2,3,2,3,3,3,2,4,2,4,2,3,1,3,3,3,3,122350,191.257,8
2,3,4,3,5,3,3,2,1,3,3,1,1,2,4,1,2,2,1,3,2,4,2,3,4,3,2,1,3,2,1,286405,460.808,9
3,2,3,2,1,2,2,4,2,2,2,2,1,1,1,1,1,1,2,2,1,3,1,3,1,1,1,2,2,1,1,391266,449.259,10
3,4,3,3,4,4,4,2,1,2,3,2,2,3,2,3,3,4,1,3,2,4,2,3,3,3,2,3,3,2,1,355100,597.976,11
2,3,4,3,3,2,1,2,3,4,4,3,1,1,1,3,2,2,1,4,1,2,1,4,2,2,1,3,1,1,1,265299,366.58,12
2,2,3,3,3,3,2,1,1,2,2,2,1,2,1,1,1,2,1,3,1,2,1,1,1,1,1,1,1,1,1,128815,207.054,13
3,2,3,3,4,2,2,3,3,3,2,2,2,3,2,2,2,3,2,2,2,3,2,4,2,3,2,2,3,2,2,162323,301.667,14
5,5,5,5,5,5,5,5,5,3,3,4,2,3,4,3,2,5,2,3,3,3,3,5,2,5,4,3,4,4,1,102953,172.286,15
4,4,4,4,3,4,4,2,3,2,3,3,3,2,3,4,4,4,3,3,3,3,4,4,4,3,2,3,3,4,1,64523,135.435,16
4,5,5,4,5,4,4,4,5,4,4,3,3,4,3,3,4,4,3,3,4,4,3,5,3,5,4,5,4,4,3,104180,185.701,17
2,2,1,1,2,1,3,2,2,3,3,2,2,3,2,5,3,2,1,4,1,3,1,2,1,2,3,3,2,2,1,153868,283.686,18
4,4,4,3,5,4,3,3,2,3,3,4,4,4,5,3,3,4,4,5,3,3,1,4,1,1,3,2,2,2,3,188113,329.714,19
3,3,4,4,2,5,3,2,1,2,4,1,2,2,2,4,1,3,2,2,1,2,1,3,2,1,1,1,2,1,1,125726,203.944,20
2,2,3,3,2,2,2,2,1,2,2,2,1,2,1,3,1,1,2,3,1,2,1,1,1,1,1,2,1,1,2,279194,455.565,21
4,5,5,5,4,4,4,4,2,3,3,5,1,3,5,2,2,5,3,5,5,4,4,4,2,4,3,5,4,4,2,134523,232.136,22
1,3,4,5,4,4,3,4,2,3,1,4,1,3,4,3,3,4,3,4,3,4,3,4,4,3,1,4,5,3,2,184628,258.298,23
3,4,2,2,3,1,3,3,2,1,1,2,1,3,1,1,1,4,2,1,3,4,3,4,1,4,4,4,2,4,1,332845,505.868,24
1,2,2,2,1,1,2,2,1,3,3,3,1,3,1,3,1,1,3,3,1,2,1,2,1,2,1,4,2,1,2,126202,172.532,25
2,1,2,3,2,2,1,1,1,2,2,1,1,2,1,3,2,1,2,2,1,2,1,2,1,2,3,3,2,1,1,256140,402.053,26
3,3,4,4,4,3,4,4,5,3,2,4,3,4,2,4,4,4,4,5,4,4,4,4,3,4,4,4,3,3,3,76668,138.829,27
2,3,4,3,3,2,1,1,1,1,1,3,1,3,2,3,4,3,1,4,1,2,1,3,1,2,4,2,3,1,1,580194,644.722,28
3,3,4,4,4,4,4,3,4,3,3,4,4,4,4,3,2,3,3,3,3,4,3,4,2,3,4,4,3,2,3,204139,382.274,29
5,5,5,5,5,5,4,5,4,5,4,4,3,5,5,5,4,5,4,4,4,5,3,5,5,4,3,4,5,4,2,188464,464.336,30
4,5,5,4,5,4,4,4,2,4,3,4,1,4,2,3,4,4,2,3,4,5,4,5,4,5,5,5,4,5,1,104907,144.399,31
1,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,69005,174.024,32
3,4,4,4,4,4,4,2,3,4,4,3,1,3,3,3,3,3,4,3,3,4,3,5,3,2,4,2,1,2,2,207266,284.448,33
3,3,3,3,3,2,3,2,2,1,1,2,2,2,2,1,2,2,3,3,2,3,2,2,2,2,1,3,2,2,1,276649,499.819,34
2,2,3,3,2,2,4,2,1,2,1,2,1,1,1,1,2,2,2,1,2,3,2,3,2,3,1,3,3,1,1,314943,423.354,35
3,3,3,3,2,3,1,2,3,2,2,2,1,2,3,2,3,3,2,2,1,3,3,3,3,3,1,1,3,3,3,103876,179.59,36
3,4,4,2,4,4,3,2,4,5,4,4,5,4,1,4,2,2,4,5,4,4,2,4,2,4,1,5,3,3,4,141553,241.609,37
3,2,3,3,3,4,3,2,2,4,3,4,2,3,3,2,4,3,2,2,2,4,2,4,2,2,3,3,2,3,2,134103,181.429,38
2,2,3,3,2,2,2,2,3,3,2,2,1,2,2,3,3,2,2,5,2,2,2,3,2,2,2,3,2,1,1,138712,186.087,39
4,3,3,4,3,2,2,2,4,3,2,3,3,2,2,2,3,2,2,3,3,3,2,4,3,3,3,4,3,3,1,455598,580.048,40
4,4,5,5,5,4,5,3,4,4,4,2,4,4,5,5,4,5,2,4,4,5,5,4,5,4,4,5,4,4,1,129890,223.665,41
2,4,2,3,5,3,4,2,2,1,1,1,1,2,3,1,1,2,3,4,3,3,1,2,2,2,2,3,3,1,5,161151,318.982,42
2,2,3,3,2,2,2,3,1,2,2,1,2,2,2,2,2,2,3,3,2,3,1,2,2,1,1,2,3,2,2,121153,225.985,43
3,4,4,4,5,3,5,3,1,4,1,4,1,1,5,4,5,5,2,3,2,4,1,4,2,1,4,1,1,3,1,153196,364.129,44
4,3,4,4,4,5,3,3,2,2,2,1,1,2,1,4,1,2,2,3,1,2,1,5,1,2,1,2,1,2,1,120896,185.234,45
2,1,1,1,1,1,1,3,2,3,3,1,3,1,3,3,1,1,2,3,1,1,3,2,3,3,1,3,3,3,2,255572,471.763,46
3,3,3,4,3,3,5,2,2,3,3,2,2,3,2,1,4,2,2,4,2,3,1,3,2,2,2,2,2,2,2,670613,822.816,47
3,3,3,2,2,3,2,3,1,3,3,2,1,2,1,2,1,2,2,2,2,3,2,2,2,2,2,1,2,3,2,134108,293.774,48
3,3,3,3,4,4,3,3,3,3,3,3,2,2,3,2,2,3,3,3,2,3,3,4,3,3,3,3,3,3,1,55687,1364.615,49
5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,128796,205.446,50
4,4,4,4,4,5,5,4,3,5,5,3,2,4,2,4,5,4,3,5,4,4,4,4,3,3,4,4,4,3,2,121460,183.644,51
2,3,3,3,4,5,5,2,1,1,1,2,1,1,5,1,1,3,3,3,3,4,3,3,3,2,3,4,3,3,2,95814,165.848,52
3,3,3,3,4,2,4,2,3,2,1,1,2,1,2,1,2,3,2,2,1,2,1,1,1,1,2,2,1,2,1,179216,311.3,53
2,2,2,2,2,2,2,2,3,3,3,1,1,2,1,1,2,1,3,3,1,2,2,3,1,1,2,2,1,2,1,243058,330.382,54
4,5,4,4,5,4,4,3,5,4,4,4,5,4,5,4,4,4,3,2,3,4,2,3,5,4,4,3,3,4,3,77056,219.467,55
3,4,2,3,4,4,4,4,3,3,2,4,4,3,5,4,4,4,5,5,2,4,2,4,3,4,4,5,4,4,2,190586,303.481,56
3,3,3,4,3,4,3,2,1,3,1,1,2,1,1,1,1,1,3,3,3,3,2,3,2,1,1,4,3,2,1,280036,351.621,57
1,3,3,3,2,2,3,1,1,1,1,1,1,3,3,3,1,2,1,1,1,2,1,3,1,4,1,1,1,2,2,197389,340.993,58
