"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","version","cat_questionnaire_time","total_time","ID"
4,3,4,4,2,1,2,1,3,4,2,4,4,4,2,4,1,3,1,3,2,3,2,4,1,"Shuffled_questionnaire",125358,431.968,1
4,4,4,4,3,3,4,3,3,3,4,4,3,4,3,5,3,2,3,4,3,3,4,3,3,"Canonical_questionnaire",90535,213.588,2
2,5,2,2,2,1,1,1,1,1,2,1,3,3,1,1,1,1,1,2,2,1,1,1,1,"Shuffled_questionnaire",107644,401.197,3
3,2,4,2,1,1,2,2,1,4,1,1,1,1,1,4,1,2,1,1,1,1,1,2,2,"Canonical_questionnaire",139513,466.617,4
2,3,2,2,1,3,2,2,4,2,1,2,2,4,2,2,2,2,3,3,3,3,2,2,2,"Canonical_questionnaire",157565,296.417,5
3,3,4,2,3,3,1,3,1,4,4,3,4,5,2,5,2,4,1,4,4,1,2,2,5,"Canonical_questionnaire",254441,372.929,6
5,5,5,5,5,5,5,5,5,5,5,5,3,2,5,5,1,5,2,5,4,4,3,5,5,"Canonical_questionnaire",132088,558.503,7
2,4,2,4,2,4,3,1,2,2,2,3,5,4,2,5,4,2,4,3,1,1,2,1,1,"Canonical_questionnaire",86345,189.334,8
3,3,4,3,2,3,3,3,2,3,3,2,1,1,1,4,2,3,3,3,2,2,2,2,3,"Canonical_questionnaire",86944,234.092,9
2,2,3,3,2,3,2,2,2,2,3,3,3,2,3,3,3,3,4,2,3,2,2,3,2,"Shuffled_questionnaire",88016,216.666,10
4,3,1,4,2,2,3,3,3,2,2,3,3,3,3,2,4,1,4,2,1,3,1,4,2,"Shuffled_questionnaire",165180,462.254,11
2,3,3,2,3,2,1,1,2,3,3,2,1,2,1,3,1,2,3,2,3,2,1,1,3,"Shuffled_questionnaire",131607,418.927,12
1,3,4,3,4,2,4,3,2,5,3,3,2,3,2,4,4,3,4,3,2,2,3,4,2,"Canonical_questionnaire",155147,497.733,13
3,4,4,5,3,4,4,4,3,4,2,4,4,3,4,4,4,3,4,5,2,3,4,4,3,"Canonical_questionnaire",68203,317.943,14
4,3,4,3,1,4,4,2,1,2,4,3,1,1,3,4,3,3,1,2,3,4,1,4,4,"Canonical_questionnaire",78581,148.04,15
2,3,3,3,1,3,2,2,3,3,2,1,2,4,3,4,3,3,3,3,1,2,4,2,2,"Shuffled_questionnaire",108921,287.906,16
5,4,4,3,2,3,3,2,4,3,3,3,2,4,3,4,5,4,3,3,2,5,2,3,3,"Canonical_questionnaire",79187,215.955,17
1,3,1,2,3,3,2,2,2,5,2,1,3,4,2,2,2,1,1,2,1,1,1,2,2,"Shuffled_questionnaire",218483,423.235,18
3,3,3,2,2,1,2,2,2,2,3,2,3,4,2,3,1,2,1,3,2,2,2,2,2,"Shuffled_questionnaire",148207,397.509,19
4,4,3,3,4,2,2,3,3,2,4,3,3,2,3,3,4,2,3,3,1,3,3,3,3,"Shuffled_questionnaire",152209,356.875,20
5,5,3,5,3,1,1,3,4,5,2,2,3,5,3,5,1,1,4,1,3,2,1,3,2,"Canonical_questionnaire",128908,333.334,21
4,4,4,4,3,2,4,4,4,3,4,2,2,3,3,5,2,3,1,2,3,4,2,3,3,"Canonical_questionnaire",188742,851.56,22
1,3,1,1,1,1,1,1,1,2,1,3,1,2,1,3,1,4,2,1,1,1,1,1,2,"Shuffled_questionnaire",65888,238.352,23
2,4,2,2,2,2,1,2,1,3,2,1,3,3,1,2,1,2,2,3,2,1,1,2,2,"Canonical_questionnaire",128943,509.062,24
3,3,2,2,2,2,1,2,1,2,4,2,1,1,2,4,3,3,3,3,1,1,2,2,2,"Shuffled_questionnaire",94828,247.458,25
4,5,4,5,4,3,3,2,5,3,4,5,2,1,3,5,4,3,3,5,2,4,3,3,4,"Shuffled_questionnaire",65514,182.276,26
3,4,4,4,4,4,4,3,2,2,3,4,3,2,3,4,4,4,4,3,2,3,2,3,4,"Shuffled_questionnaire",219284,732.647,27
3,4,3,4,3,2,2,4,1,2,2,5,4,4,1,3,2,4,3,4,1,2,1,2,2,"Canonical_questionnaire",160627,531.79,28
2,5,3,2,3,1,1,1,3,5,3,3,2,4,1,3,2,3,3,3,2,3,1,1,3,"Canonical_questionnaire",278451,533.546,29
2,3,4,4,3,4,5,2,2,3,4,2,3,2,2,5,4,5,3,3,2,2,2,1,3,"Shuffled_questionnaire",164115,394.53,30
4,3,4,4,4,3,4,3,2,4,3,3,4,4,3,5,3,3,3,4,2,4,3,3,3,"Canonical_questionnaire",249984,486.29,31
5,4,4,5,2,2,2,4,2,3,2,3,3,4,3,5,2,2,4,2,2,3,2,2,3,"Shuffled_questionnaire",145462,433.334,32
3,4,3,3,1,2,1,3,1,4,3,3,2,2,3,5,3,3,5,2,2,1,2,3,4,"Shuffled_questionnaire",420962,1182.32,33
4,4,4,4,1,2,1,2,1,2,4,2,1,3,2,4,2,3,5,2,2,2,2,1,3,"Canonical_questionnaire",111752,265.385,34
2,4,2,3,4,1,2,3,5,4,2,3,3,3,2,2,2,1,5,4,3,2,2,1,3,"Canonical_questionnaire",114470,287.723,35
1,3,3,2,1,1,3,3,3,1,1,2,1,2,1,3,2,2,2,1,2,2,2,2,2,"Canonical_questionnaire",105287,277.959,36
3,4,3,4,1,3,1,2,3,4,1,3,3,2,1,2,3,4,4,4,1,1,2,3,2,"Canonical_questionnaire",265846,582.301,37
2,4,2,2,1,1,1,2,2,4,3,1,3,2,1,2,1,2,4,2,2,1,1,2,1,"Canonical_questionnaire",224462,486.141,38
2,3,1,2,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,"Canonical_questionnaire",152102,366.291,39
1,2,1,2,1,1,1,1,1,1,2,1,2,1,2,2,1,2,2,1,2,1,1,1,1,"Canonical_questionnaire",64984,217.293,40
3,4,4,4,4,4,4,2,2,4,4,3,4,2,3,4,2,4,4,3,3,3,4,4,3,"Canonical_questionnaire",187985,452.186,41
2,4,4,3,3,2,4,2,2,2,2,4,3,4,2,4,4,2,3,3,2,2,2,3,2,"Canonical_questionnaire",92143,319.042,42
2,4,2,4,2,2,2,1,2,2,2,3,2,3,1,3,2,3,3,2,1,3,1,1,2,"Canonical_questionnaire",229022,570.861,43
5,4,5,5,5,1,3,5,5,5,1,5,3,3,4,5,1,3,4,1,3,4,1,4,5,"Canonical_questionnaire",125911,317.116,44
3,3,5,4,3,3,2,3,5,4,2,3,2,5,2,4,2,3,4,3,2,3,2,2,3,"Canonical_questionnaire",92765,287.521,45
2,3,2,3,2,3,3,2,1,2,2,2,3,3,1,3,3,2,2,2,2,1,1,1,1,"Canonical_questionnaire",299164,623.946,46
4,3,4,4,5,4,3,4,2,2,5,3,4,4,5,3,3,4,5,4,1,3,2,5,5,"Shuffled_questionnaire",79751,262.477,47
4,4,4,3,1,1,1,1,1,1,1,3,3,3,3,4,4,1,3,3,1,2,1,3,1,"Canonical_questionnaire",84233,184.597,48
4,5,5,3,1,4,5,3,3,2,3,3,1,1,3,4,4,4,1,4,2,4,2,4,2,"Canonical_questionnaire",168855,789.072,49
3,3,1,2,2,2,3,1,1,1,2,1,1,2,1,3,1,3,3,3,2,1,1,3,2,"Canonical_questionnaire",120020,300.613,50
3,4,3,4,3,4,4,3,2,3,4,4,4,2,4,4,4,3,3,3,2,4,4,3,4,"Shuffled_questionnaire",27101,116.809,51
2,3,2,3,1,2,2,3,2,1,3,2,1,2,1,3,2,2,3,2,2,2,1,2,1,"Shuffled_questionnaire",128265,358.04,52
3,4,4,3,3,2,2,3,4,2,2,4,2,3,3,5,2,3,4,2,3,4,2,3,2,"Shuffled_questionnaire",99720,198.061,53
2,3,4,2,2,3,3,2,4,3,2,3,4,4,4,3,2,3,4,3,2,4,2,3,3,"Shuffled_questionnaire",102920,308.505,54
3,5,2,4,5,2,3,4,2,1,3,3,2,3,3,3,1,2,2,3,2,2,3,4,4,"Shuffled_questionnaire",101586,264.916,55
2,4,2,3,2,2,3,2,1,2,3,2,1,3,1,3,1,2,3,3,1,1,1,2,3,"Shuffled_questionnaire",63102,386.413,56
3,5,4,4,3,2,2,1,1,3,3,3,3,4,2,3,1,5,3,3,1,4,1,3,3,"Canonical_questionnaire",187412,365.828,57
2,4,5,3,1,2,1,2,2,3,5,2,3,3,1,5,2,2,4,2,2,1,2,4,4,"Shuffled_questionnaire",135332,331.183,58
2,1,2,1,2,1,1,2,2,3,2,3,2,4,2,2,2,1,2,3,1,2,2,3,2,"Canonical_questionnaire",131467,256.3,59
1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,2,"Shuffled_questionnaire",121481,375.355,60
3,3,3,3,1,3,1,3,1,2,1,1,1,1,1,2,3,1,1,1,1,1,1,3,3,"Canonical_questionnaire",170929,410.435,61
3,2,1,4,1,1,2,1,3,1,1,2,2,1,1,1,1,2,1,2,1,2,2,1,2,"Canonical_questionnaire",141423,442.528,62
2,2,1,3,3,2,1,2,2,2,1,4,4,3,2,3,1,3,3,3,2,2,1,2,2,"Shuffled_questionnaire",160833,288.191,63
1,2,1,2,3,1,1,2,1,2,2,2,1,4,1,1,1,3,2,2,1,1,1,2,2,"Canonical_questionnaire",136452,388.875,64
3,4,5,3,1,1,1,3,1,2,5,3,3,2,2,3,1,4,4,3,2,1,1,3,3,"Shuffled_questionnaire",195533,354.788,65
2,2,2,2,2,3,2,3,3,2,2,3,1,1,2,3,3,3,3,2,1,2,3,3,3,"Shuffled_questionnaire",86555,307.404,66
2,2,3,2,1,2,2,2,2,1,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,"Canonical_questionnaire",243657,499.712,67
1,2,2,1,2,2,4,2,1,3,4,1,2,3,1,1,2,2,2,1,1,1,1,2,1,"Shuffled_questionnaire",82638,296.631,68
5,5,5,4,4,4,3,5,3,5,4,5,3,5,3,5,4,4,4,4,3,2,2,5,4,"Shuffled_questionnaire",70272,183.395,69
2,3,1,2,1,1,1,1,1,3,4,3,2,1,1,3,1,3,2,2,2,2,1,2,3,"Shuffled_questionnaire",307526,565.629,70
2,3,4,3,1,3,2,2,2,3,3,2,2,2,2,3,2,3,3,3,2,1,2,1,2,"Shuffled_questionnaire",113327,263.094,71
2,4,3,4,2,2,2,2,3,3,4,2,3,2,2,4,2,3,3,4,1,3,2,2,2,"Shuffled_questionnaire",195949,515.759,72
3,4,5,4,1,3,3,3,2,5,4,3,3,4,3,4,4,4,4,3,2,3,1,3,2,"Canonical_questionnaire",113677,366.228,73
4,2,2,4,1,3,1,2,3,2,1,2,2,2,1,3,2,2,3,2,2,1,1,3,1,"Canonical_questionnaire",117160,382.734,74
3,3,2,2,2,3,2,4,2,4,3,3,4,4,2,2,2,2,2,2,2,1,1,3,2,"Shuffled_questionnaire",480016,638.095,75
4,2,3,2,1,2,3,1,3,2,2,2,1,3,2,4,1,2,2,2,1,3,2,2,1,"Shuffled_questionnaire",194213,397.14,76
2,3,3,3,1,1,1,1,2,4,2,1,1,1,2,3,2,2,2,1,1,2,1,2,3,"Canonical_questionnaire",799016,1152.184,77
3,5,4,4,4,3,4,3,3,2,4,4,3,2,3,4,4,3,3,3,3,4,1,3,3,"Shuffled_questionnaire",85064,279.834,78
2,2,3,2,1,2,1,1,1,1,1,2,1,1,1,4,2,1,2,2,1,1,1,3,2,"Shuffled_questionnaire",76025,208.13,79
5,4,5,5,3,4,4,5,4,4,4,4,4,5,4,5,1,5,3,4,3,4,4,4,4,"Canonical_questionnaire",141126,316.23,80
3,4,2,4,1,3,2,1,3,1,1,2,3,3,1,3,2,1,4,3,1,2,1,3,2,"Canonical_questionnaire",100781,351.922,81
5,5,4,5,3,3,2,4,5,4,3,4,2,4,2,5,2,3,3,3,4,5,4,3,4,"Canonical_questionnaire",68878,158.453,82
3,5,4,5,4,4,3,4,2,4,3,4,2,3,3,5,3,4,4,3,4,4,3,4,3,"Canonical_questionnaire",135356,502.978,83
2,2,2,4,2,3,2,4,1,2,5,3,2,3,3,2,3,4,3,2,2,3,1,3,3,"Shuffled_questionnaire",695286,1094.024,84
3,5,4,4,2,3,3,2,3,1,4,3,1,3,2,4,1,2,1,2,1,2,2,2,4,"Shuffled_questionnaire",94707,389.749,85
4,4,4,4,2,4,4,3,2,4,3,3,2,2,3,4,3,3,3,3,2,3,2,3,3,"Canonical_questionnaire",92623,294.997,86
2,2,2,4,2,2,1,1,1,3,4,2,1,2,3,2,2,2,1,2,2,4,1,3,3,"Canonical_questionnaire",150596,336.808,87
3,4,5,4,1,1,3,1,1,1,3,2,1,2,1,5,3,2,5,4,1,1,1,1,3,"Shuffled_questionnaire",185259,384.662,88
4,5,3,4,3,2,1,2,2,4,4,3,3,3,2,3,3,2,3,3,3,3,1,2,2,"Canonical_questionnaire",114384,238.491,89
2,4,2,4,3,4,4,2,3,4,1,4,2,2,3,3,3,1,4,2,2,4,2,4,3,"Shuffled_questionnaire",159867,387.32,90
3,4,3,3,2,2,2,3,2,2,2,3,3,3,2,4,2,2,2,3,2,2,2,3,3,"Canonical_questionnaire",85294,312.183,91
2,2,2,2,2,2,2,3,1,2,3,2,1,1,2,1,2,1,2,1,2,1,2,1,2,"Shuffled_questionnaire",106157,615.544,92
4,5,4,4,3,3,3,4,4,4,4,4,2,3,2,4,2,3,5,3,2,2,2,3,3,"Shuffled_questionnaire",91106,222.003,93
