"X1_t1","X2_t1","X3_t1","X4_t1","X5_t1","X6_t1","X7_t1","X8_t1","X9_t1","X10_t1","X11_t1","X12_t1","X13_t1","X14_t1","X15_t1","X16_t1","X17_t1","X18_t1","X19_t1","X20_t1","X21_t1","X22_t1","X23_t1","X24_t1","X1_t2","X2_t2","X3_t2","X4_t2","X5_t2","X6_t2","X7_t2","X8_t2","X9_t2","X10_t2","X11_t2","X12_t2","X13_t2","X14_t2","X15_t2","X16_t2","X17_t2","X18_t2","X19_t2","X20_t2","X21_t2","X22_t2","X23_t2","X24_t2","time_taken_t1","total_time","cat_questionnaire_time_t1","cat_questionnaire_time_t2","score_t1","score_t2","ID"
3,4,4,4,3,4,3,3,1,2,5,4,3,1,3,3,2,4,2,3,2,1,2,1,2,4,5,3,4,5,3,2,1,2,5,2,2,1,3,1,2,5,4,3,1,3,3,3,600.184,403.277,110255,95861,67,69,1
2,3,1,3,2,1,1,1,3,1,3,2,2,3,2,3,2,2,2,2,3,2,2,1,3,2,1,3,1,2,2,1,3,1,3,2,1,3,2,3,1,2,3,2,3,2,2,1,1150.849,517.531,216128,253379,49,49,2
4,4,4,4,4,3,3,2,4,3,3,3,2,4,3,2,3,3,3,3,4,2,3,2,2,4,3,3,3,2,2,2,2,2,1,3,3,4,3,1,2,3,2,2,2,2,2,2,533.682,910.274,99609,845343,75,57,3
2,4,3,3,2,2,2,1,3,4,4,3,3,4,3,2,3,4,3,4,3,2,2,5,2,4,3,3,1,2,3,1,2,4,3,3,3,4,3,2,3,3,2,4,3,2,3,2,530.591,175.68,91323,98678,71,65,4
3,4,2,4,3,3,1,1,3,1,4,4,2,2,2,2,2,4,3,2,3,1,3,3,3,4,4,3,3,3,2,1,4,1,4,3,3,3,3,2,3,4,2,2,3,3,3,3,576.316,116.364,86185,60279,62,69,5
3,3,3,3,3,3,2,2,2,2,3,3,3,4,3,1,3,3,3,3,2,2,3,2,3,4,4,3,3,4,3,2,2,2,4,3,3,3,4,2,4,3,3,2,2,2,4,4,768.775,329.514,107135,112044,64,73,6
3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,2,3,2,3,3,2,2,3,2,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,2,2,2,506.934,106.365,41215,40617,66,70,7
3,4,3,3,2,3,4,2,3,2,4,3,3,3,2,2,3,4,4,3,2,3,3,3,2,4,3,3,2,2,2,2,2,2,3,3,2,3,2,2,3,4,3,3,2,2,3,3,599.233,173.713,92897,90489,71,62,8
3,3,5,5,2,3,1,3,2,2,5,5,1,2,4,4,2,5,3,1,2,1,3,2,4,4,4,4,4,3,2,4,3,5,5,4,3,2,4,3,3,4,4,1,2,2,3,4,563.792,167.86,93891,100495,69,81,9
2,3,3,3,2,2,1,1,3,3,4,2,3,4,3,2,2,3,2,1,2,2,2,2,3,3,3,4,2,2,3,1,2,2,4,3,3,3,2,2,2,2,2,1,2,1,2,1,608.638,158.226,100875,86186,57,55,10
2,2,2,3,2,3,2,1,1,2,3,3,3,4,3,1,1,1,2,1,1,3,3,2,3,3,2,3,3,2,1,1,2,2,3,3,3,4,3,1,1,2,2,2,1,3,3,2,562.362,295.442,90035,157859,51,55,11
1,2,2,2,2,2,3,2,1,3,3,3,1,2,3,2,3,2,2,2,3,2,2,1,4,2,2,3,2,2,1,3,1,3,2,2,3,3,2,2,2,2,2,2,2,3,3,2,512.57,197.348,32361,90809,51,55,12
4,4,4,3,2,4,3,3,1,2,4,3,4,3,4,4,3,3,3,3,2,2,3,3,4,4,3,5,2,4,3,3,1,4,4,4,3,3,4,4,4,4,4,3,2,2,3,4,542.385,209.973,109000,80707,74,81,13
5,5,4,4,4,2,1,3,4,3,3,4,2,2,3,2,5,3,3,2,3,2,2,3,5,5,4,5,3,2,1,3,4,3,3,4,1,2,4,1,5,4,3,2,4,1,2,3,777.506,270.978,125181,104952,74,74,14
3,3,3,5,4,3,1,2,1,5,5,5,3,4,4,3,4,3,3,2,3,3,2,3,2,1,3,4,3,3,1,1,1,4,5,5,2,2,3,2,3,4,2,1,2,1,2,2,1038.984,734.564,101744,81480,77,59,15
